grid_id,grid_lat,grid_lon,hour,day_of_week,complaint_count,high_congestion,is_weekend,is_rush_hour,month
40.71_-73.98,40.71,-73.98,20,2,1,0,0,0,1
40.71_-73.98,40.71,-73.98,20,3,2,0,0,0,1
40.71_-73.98,40.71,-73.98,20,5,1,0,1,0,1
40.71_-73.98,40.71,-73.98,21,0,3,0,0,0,1
40.71_-73.98,40.71,-73.98,21,1,1,0,0,0,1
40.71_-73.98,40.71,-73.98,21,2,1,0,0,0,1
40.71_-73.98,40.71,-73.98,21,3,1,0,0,0,1
40.71_-73.98,40.71,-73.98,21,5,4,0,1,0,1
40.71_-73.98,40.71,-73.98,22,0,2,0,0,0,1
40.71_-73.98,40.71,-73.98,22,1,1,0,0,0,1
40.71_-73.98,40.71,-73.98,22,5,2,0,1,0,1
40.71_-73.98,40.71,-73.98,23,1,1,0,0,0,1
40.71_-73.98,40.71,-73.98,23,2,2,0,0,0,1
40.71_-73.98,40.71,-73.98,23,4,1,0,0,0,1
40.71_-73.98,40.71,-73.98,23,6,1,0,1,0,1
40.71_-73.99,40.71,-73.99,0,0,2,0,0,0,1
40.71_-73.99,40.71,-73.99,0,1,1,0,0,0,1
40.71_-73.99,40.71,-73.99,0,2,2,0,0,0,1
40.71_-73.99,40.71,-73.99,0,3,1,0,0,0,1
40.71_-73.99,40.71,-73.99,0,5,2,0,1,0,1
40.71_-73.99,40.71,-73.99,1,5,1,0,1,0,1
40.71_-73.99,40.71,-73.99,1,6,1,0,1,0,1
40.71_-73.99,40.71,-73.99,2,5,1,0,1,0,1
40.71_-73.99,40.71,-73.99,2,6,1,0,1,0,1
40.71_-73.99,40.71,-73.99,4,1,2,0,0,0,1
40.71_-73.99,40.71,-73.99,4,5,1,0,1,0,1
40.71_-73.99,40.71,-73.99,5,0,4,0,0,0,1
40.71_-73.99,40.71,-73.99,5,1,3,0,0,0,1
40.71_-73.99,40.71,-73.99,5,2,7,0,0,0,1
40.71_-73.99,40.71,-73.99,5,3,2,0,0,0,1
40.71_-73.99,40.71,-73.99,5,5,1,0,1,0,1
40.71_-73.99,40.71,-73.99,6,0,3,0,0,0,1
40.71_-73.99,40.71,-73.99,6,1,1,0,0,0,1
40.71_-73.99,40.71,-73.99,6,2,3,0,0,0,1
40.71_-73.99,40.71,-73.99,6,3,1,0,0,0,1
40.71_-73.99,40.71,-73.99,6,4,1,0,0,0,1
40.71_-73.99,40.71,-73.99,6,5,2,0,1,0,1
40.71_-73.99,40.71,-73.99,7,0,2,0,0,1,1
40.71_-73.99,40.71,-73.99,7,1,1,0,0,1,1
40.71_-73.99,40.71,-73.99,7,2,3,0,0,1,1
40.71_-73.99,40.71,-73.99,7,3,2,0,0,1,1
40.71_-73.99,40.71,-73.99,7,4,3,0,0,1,1
40.71_-73.99,40.71,-73.99,7,6,2,0,1,1,1
40.71_-73.99,40.71,-73.99,8,0,4,0,0,1,1
40.71_-73.99,40.71,-73.99,8,1,5,0,0,1,1
40.71_-73.99,40.71,-73.99,8,2,3,0,0,1,1
40.71_-73.99,40.71,-73.99,8,3,4,0,0,1,1
40.71_-73.99,40.71,-73.99,8,4,3,0,0,1,1
40.71_-73.99,40.71,-73.99,8,5,1,0,1,1,1
40.71_-73.99,40.71,-73.99,8,6,1,0,1,1,1
40.71_-73.99,40.71,-73.99,9,0,5,0,0,1,1
40.71_-73.99,40.71,-73.99,9,1,5,0,0,1,1
40.71_-73.99,40.71,-73.99,9,2,9,0,0,1,1
40.71_-73.99,40.71,-73.99,9,3,7,0,0,1,1
40.71_-73.99,40.71,-73.99,9,4,4,0,0,1,1
40.71_-73.99,40.71,-73.99,9,5,2,0,1,1,1
40.71_-73.99,40.71,-73.99,9,6,5,0,1,1,1
40.71_-73.99,40.71,-73.99,10,0,6,0,0,0,1
40.71_-73.99,40.71,-73.99,10,1,6,0,0,0,1
40.71_-73.99,40.71,-73.99,10,2,4,0,0,0,1
40.71_-73.99,40.71,-73.99,10,3,3,0,0,0,1
40.71_-73.99,40.71,-73.99,10,4,4,0,0,0,1
40.71_-73.99,40.71,-73.99,10,5,3,0,1,0,1
40.71_-73.99,40.71,-73.99,10,6,4,0,1,0,1
40.71_-73.99,40.71,-73.99,11,0,6,0,0,0,1
40.71_-73.99,40.71,-73.99,11,1,3,0,0,0,1
40.71_-73.99,40.71,-73.99,11,2,4,0,0,0,1
40.71_-73.99,40.71,-73.99,11,3,4,0,0,0,1
40.71_-73.99,40.71,-73.99,11,4,11,0,0,0,1
40.71_-73.99,40.71,-73.99,11,5,1,0,1,0,1
40.71_-73.99,40.71,-73.99,11,6,6,0,1,0,1
40.71_-73.99,40.71,-73.99,12,0,10,0,0,0,1
40.71_-73.99,40.71,-73.99,12,1,2,0,0,0,1
40.71_-73.99,40.71,-73.99,12,2,2,0,0,0,1
40.71_-73.99,40.71,-73.99,12,3,12,0,0,0,1
40.71_-73.99,40.71,-73.99,12,4,7,0,0,0,1
40.71_-73.99,40.71,-73.99,12,5,3,0,1,0,1
40.71_-73.99,40.71,-73.99,12,6,14,0,1,0,1
40.71_-73.99,40.71,-73.99,13,0,5,0,0,0,1
40.71_-73.99,40.71,-73.99,13,1,6,0,0,0,1
40.71_-73.99,40.71,-73.99,13,2,15,1,0,0,1
40.71_-73.99,40.71,-73.99,13,3,7,0,0,0,1
40.71_-73.99,40.71,-73.99,13,4,3,0,0,0,1
40.71_-73.99,40.71,-73.99,13,5,2,0,1,0,1
40.71_-73.99,40.71,-73.99,13,6,11,0,1,0,1
