"created_date","complaint_type","descriptor","borough","latitude","longitude","street_name"
"2025-10-11T01:02:05.000","Noise - Commercial","Loud Music/Party","MANHATTAN","40.79836783570778","-73.96351378516052","COLUMBUS AVENUE"
"2025-10-11T01:01:36.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.72444683419667","-73.9754635220889","AVENUE D"
"2025-10-11T01:01:34.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.86509884715331","-73.93091320977899","MARGARET CORBIN DRIVE"
"2025-10-11T01:01:22.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.82973337947792","-73.94654573072565","WEST  151 STREET"
"2025-10-11T01:01:10.000","Illegal Parking","Double Parked Blocking Traffic","MANHATTAN","40.824262589486636","-73.9453252549545","WEST  145 STREET"
"2025-10-11T01:00:10.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.825120804287465","-73.94940750418269","WEST  144 STREET"
"2025-10-11T00:59:27.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.72086478054591","-74.00178936020886","MERCER STREET"
"2025-10-11T00:58:57.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.71135088580423","-73.98855838612968","CHERRY STREET"
"2025-10-11T00:58:37.000","Noise - Residential","Loud Talking","MANHATTAN","40.81770077489813","-73.95341254905306","WEST  133 STREET"
"2025-10-11T00:58:05.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.716491976114185","-73.99020966732719","LUDLOW STREET"
"2025-10-11T00:58:01.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.8117535749766","-73.94259363725769","LENOX AVENUE"
"2025-10-11T00:55:45.000","Noise - Residential","Banging/Pounding","MANHATTAN","40.83008416268945","-73.94539274128104","WEST  152 STREET"
"2025-10-11T00:55:25.000","Noise - Commercial","Loud Music/Party","MANHATTAN","40.72273076138969","-73.98960987560176","ELDRIDGE STREET"
"2025-10-11T00:54:54.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.728859674710165","-73.98826673882273","ST MARKS PLACE"
"2025-10-11T00:54:47.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.8156417831539","-73.94049851873596","WEST  137 STREET"
"2025-10-11T00:54:43.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.80753134006011","-73.94091034446573","EAST  127 STREET"
"2025-10-11T00:53:43.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.866759390133424","-73.93091510011978","RIVERSIDE DRIVE"
"2025-10-11T00:51:50.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.86417800315048","-73.9243522941168","SHERMAN AVENUE"
"2025-10-11T00:51:23.000","Noise - Residential","Banging/Pounding","MANHATTAN","40.824786200242364","-73.93861869592293","WEST  149 STREET"
"2025-10-11T00:50:03.000","Dirty Condition","Trash","MANHATTAN","40.78942444205397","-73.96927870398554","WEST   91 STREET"
"2025-10-11T00:49:30.000","Taxi Report","Driver Report - Non Passenger","MANHATTAN","40.74055809317753","-74.0085741461899","LITTLE WEST   12 STREET"
"2025-10-11T00:48:46.000","Noise - Commercial","Loud Music/Party","MANHATTAN","40.79836783570778","-73.96351378516052","COLUMBUS AVENUE"
"2025-10-11T00:47:52.000","Noise - Residential","Loud Talking","MANHATTAN","40.75938410124301","-73.98889305360727","WEST   45 STREET"
"2025-10-11T00:47:42.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.82360310142155","-73.94969409706027","HAMILTON PLACE"
"2025-10-11T00:47:00.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.8188428746513","-73.95415239257143","WEST  134 STREET"
"2025-10-11T00:45:11.000","Noise - Vehicle","Engine Idling","MANHATTAN","40.76352335496831","-73.99096444116319","WEST   49 STREET"
"2025-10-11T00:44:55.000","Encampment","N/A","MANHATTAN","40.759811643940445","-73.96995654541115","LEXINGTON AVENUE"
"2025-10-11T00:43:20.000","Noise - Commercial","Loud Music/Party","MANHATTAN","40.74302456309306","-73.98216901308079","LEXINGTON AVENUE"
"2025-10-11T00:41:44.000","Non-Emergency Police Matter","Other (complaint details)","MANHATTAN","40.749926214265855","-74.00255167247886","10 AVENUE"
"2025-10-11T00:41:39.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.87156342719683","-73.91947708125568","WEST  214 STREET"
"2025-10-11T00:41:04.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.86509884715331","-73.93091320977899","MARGARET CORBIN DRIVE"
"2025-10-11T00:41:04.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.724409035026966","-73.97860951410591","AVENUE C"
"2025-10-11T00:40:48.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.824347667539456","-73.9514387058644","WEST  142 STREET"
"2025-10-11T00:40:12.000","Noise - Vehicle","Engine Idling","MANHATTAN","40.71142419725948","-73.98226764316722","WATER STREET"
"2025-10-11T00:39:54.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.749926214265855","-74.00255167247886","10 AVENUE"
"2025-10-11T00:39:14.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.71960481020903","-73.99432538225916","BOWERY"
"2025-10-11T00:38:52.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.86010355018393","-73.93100516216545","BROADWAY"
"2025-10-11T00:38:51.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.72986598711956","-73.98074013090198","AVENUE A"
"2025-10-11T00:36:19.000","Noise - Commercial","Loud Music/Party","MANHATTAN","40.79836783570778","-73.96351378516052","COLUMBUS AVENUE"
"2025-10-11T00:36:04.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.79863133867671","-73.96354253510027","WEST  105 STREET"
"2025-10-11T00:35:13.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.82928824033397","-73.94548734446587","WEST  151 STREET"
"2025-10-11T00:35:06.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.73586711990034","-73.98915316963569","EAST   16 STREET"
"2025-10-11T00:34:31.000","Noise - Commercial","Loud Music/Party","MANHATTAN","40.79078213729308","-73.93923147747982","1 AVENUE"
"2025-10-11T00:34:28.000","Noise - Commercial","Loud Talking","MANHATTAN","40.72729771351166","-73.98648830466516","EAST    7 STREET"
"2025-10-11T00:33:53.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.79823611391424","-73.96359331639351","COLUMBUS AVENUE"
"2025-10-11T00:32:58.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.86509884715331","-73.93091320977899","MARGARET CORBIN DRIVE"
"2025-10-11T00:31:42.000","Noise - Park","Loud Music/Party","MANHATTAN","40.85980996245689","-73.93116453197796","BROADWAY"
"2025-10-11T00:30:09.000","Noise - Commercial","Loud Music/Party","MANHATTAN","40.81165753310856","-73.9426406826391","LENOX AVENUE"
"2025-10-11T00:29:41.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.738850938975375","-73.99259885385055","WEST   18 STREET"
"2025-10-11T00:29:34.000","Noise - Commercial","Banging/Pounding","MANHATTAN","40.856879430796546","-73.93253401979713","BROADWAY"
"2025-10-11T00:27:55.000","Dirty Condition","Trash","MANHATTAN","40.76305894249334","-73.98555692411801","8 AVENUE"
"2025-10-11T00:27:49.000","Noise - Vehicle","Car/Truck Music","MANHATTAN","40.71817739480056","-73.99196624089906","ELDRIDGE STREET"
"2025-10-11T00:26:34.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.803433276488676","-73.95236059020847","7 AVENUE"
"2025-10-11T00:26:31.000","Noise - Vehicle","Car/Truck Music","MANHATTAN","40.74553522035537","-73.97764636803001","EAST   34 STREET"
"2025-10-11T00:25:54.000","Noise - Commercial","Loud Music/Party","MANHATTAN","40.730484966913195","-74.00680127205388","HUDSON STREET"
"2025-10-11T00:25:46.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.81809180340186","-73.93856345204237","WEST  141 STREET"
"2025-10-11T00:25:22.000","Noise - Residential","Loud Talking","MANHATTAN","40.72444683419667","-73.9754635220889","AVENUE D"
"2025-10-11T00:25:10.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.84881397093934","-73.93466030980782","WEST  180 STREET"
"2025-10-11T00:25:01.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.803433276488676","-73.95236059020847","7 AVENUE"
"2025-10-11T00:24:45.000","Noise - Commercial","Loud Music/Party","MANHATTAN","40.8257271200195","-73.94880362762139","WEST  145 STREET"
"2025-10-11T00:24:40.000","Noise - Residential","Loud Talking","MANHATTAN","40.761848467150216","-73.96148342334466","EAST   62 STREET"
"2025-10-11T00:24:14.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.72150261535073","-73.98016893691988","EAST    3 STREET"
"2025-10-11T00:23:14.000","Traffic","Drag Racing","MANHATTAN","40.7039374778651","-74.00922945581758","WATER STREET"
"2025-10-11T00:20:08.000","Illegal Parking","Posted Parking Sign Violation","MANHATTAN","40.8011496612852","-73.94612080473502","5 AVENUE"
"2025-10-11T00:19:31.000","Noise - Street/Sidewalk","Loud Talking","MANHATTAN","40.73630649268287","-74.00829214255344","WASHINGTON STREET"
"2025-10-11T00:19:19.000","Noise - Residential","Loud Music/Party","MANHATTAN","40.78062469233427","-73.94640461344721","EAST   92 STREET"
"2025-10-11T00:19:06.000","Rodent","Mouse Sighting","MANHATTAN","40.768971352044204","-73.95470659235558","EAST   74 STREET"
"2025-10-11T00:18:55.000","Taxi Complaint","Driver Complaint - Passenger","MANHATTAN","40.74155544671306","-73.97824313903494","2 AVENUE"
"2025-10-11T00:18:41.000","Noise - Residential","Banging/Pounding","MANHATTAN","40.7897562261136","-73.9459855725782","3 AVENUE"
"2025-10-11T00:18:25.000","Taxi Complaint","Driver Complaint - Non Passenger","MANHATTAN","40.77807770034083","-73.9602644578435","EAST   82 STREET"
"2025-10-11T00:18:17.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.86509884715331","-73.93091320977899","MARGARET CORBIN DRIVE"
"2025-10-11T00:18:14.000","Homeless Person Assistance","Chronic","MANHATTAN","40.76827067961439","-73.98183373020223",
"2025-10-11T00:15:57.000","Noise - Street/Sidewalk","Loud Music/Party","MANHATTAN","40.759351161528045","-73.98886418177544","WEST   45 STREET"
